Company,Ticker,Stock Price,Market Cap,Last Quarter Filed,Last Quarter Revenue,Annualized Revenue,YoY Growth%,Revenue Multiple,Shares Outstanding (estimate),IPO Year,Year Founded,Founder(s),Headquarters,Last Quarter EBITDA,Annualized EBITDA,YoY Change in EBITDA%,EBITDA Margin,Last Quarter Net Income,Annualized Net Income,YoY Change in Net Income%,Net Income Margin,Cash and Short Term Investments,YoY Change in Cash and Short Term Investments%,Lead Investor(s) Pre-IPO,Pre-IPO Venture Funding Estimate,Employee Count (estimate),Annual Revenue per Employee (estimate),Product Description,September 2024 Website Traffic (Estimate),YoY Change in Website Traffic%,Company Website,Company Investor Relations Page,S-1 Filing,2023 10-K Filing
Cloudflare,NET,$112.58,38637.0,Sep 2024,"$430,080,000","$1,720,320,000",28.15%,22.46,"343,195,950",2019,2009,"Matthew Prince, Michelle Zatlyn, Lee Holloway",San Francisco,"-$5,380,000","-$21,520,000",46.97%,-1.25%,"-$15,330,000","-$61,320,000",34.86%,-3.56%,"$1,820,000,000",15.85%,"New Enterprise Associates (NEA), Pelion Venture Partners, Venrock, Union Square Ventures",$332 million,3520,"$488,700","Content delivery network (CDN), DDoS protection, and internet security mostly for SMBs.","","",http://www.cloudflare.com,http://www.cloudflare.net,https://www.sec.gov/Archives/edgar/data/1477333/000119312519222176/d735023ds1.htm,https://www.sec.gov/Archives/edgar/data/1477333/000147733324000013/cloud-20231231.htm
Confluent,CFLT,$30.01,9843.0,Sep 2024,"$250,200,000","$1,000,800,000",24.99%,9.84,"327,990,670",2021,2014,"Jay Kreps, Neha Narkhede, Jun Rao",Mountain View,"-$87,960,000","-$351,840,000",15.82%,-35.16%,"-$74,140,000","-$296,560,000",19.99%,-29.63%,"$1,860,000,000",-0.71%,"Sequoia Capital, Index Ventures",$456 million,2850,"$351,200","Real-time data processing and analytics including data integration, event streaming, and data management.","","",http://www.confluent.io,http://investors.confluent.io,https://www.sec.gov/Archives/edgar/data/1699838/000119312521178773/d63025ds1.htm,https://www.sec.gov/Archives/edgar/data/1699838/000095017024018036/cflt-20231231.htm
Couchbase,BASE,$15.50,811.0,Oct 2024,"$51,630,000","$206,520,000",12.69%,3.93,"52,322,581",2021,2011,"Damien Katz, J. Chris Anderson, Jan Lehnardt, Noah Slater, and Robert Newson",Mountain View,"-$18,480,000","-$73,920,000",-5.93%,-35.79%,"-$18,150,000","-$72,600,000",-11.67%,-35.15%,"$141,940,000",-9.38%,"Accel Partners, Mayfield Fund, Sorenson Capital",$300 million,760,"$271,700",NoSQL database,"","",http://www.couchbase.com,http://investors.couchbase.com,https://www.sec.gov/Archives/edgar/data/1845022/000119312521194292/d73036ds1.htm,https://www.sec.gov/Archives/edgar/data/1845022/000184502224000020/base-20240131.htm
Coursera,COUR,$8.38,1327.0,Sep 2024,"$176,090,000","$704,360,000",6.37%,1.88,"158,353,222",2021,2012,"Andrew Ng, Daphne Koller",Mountain View,"-$19,870,000","-$79,480,000",48.05%,-11.28%,"-$13,690,000","-$54,760,000",57.34%,-7.77%,"$719,440,000",-0.24%,"Arctic Ventures, Black River Ventures",$130 million,1500,"$469,600",Online courses and educational content in partnership with universities and organizations worldwide.,"","",http://www.coursera.org,http://investor.coursera.com,https://www.sec.gov/Archives/edgar/data/1651562/000119312521071525/d65490ds1.htm,https://www.sec.gov/Archives/edgar/data/1651562/000165156224000012/cour-20231231.htm
CrowdStrike,CRWD,$365.79,90098.0,Oct 2024,"$1,010,000,000","$4,040,000,000",28.52%,22.3,"246,310,725",2019,2011,"George Kurtz, Dmitri Alperovitch",Sunnyvale,"-$15,280,000","-$61,120,000",-147.60%,-1.51%,"-$16,820,000","-$67,280,000",-163.09%,-1.67%,"$4,260,000,000",34.55%,"Accel, Warburg Pincus, CapitalG",$481 million,7880,"$512,700","Cybersecurity platform for endpoint protection, threat intelligence, and incident response.","","",http://www.crowdstrike.com,http://ir.crowdstrike.com,https://www.sec.gov/Archives/edgar/data/1535527/000104746919003095/a2238800zs-1.htm,https://www.sec.gov/Archives/edgar/data/1535527/000153552724000007/crwd-20240131.htm
DocuSign,DOCU,$94.85,19162.0,Oct 2024,"$754,820,000","$3,019,280,000",7.77%,6.35,"202,024,249",2018,2003,"Tom Gonser, Court Lorenzini, Eric Ranft",San Francisco,"$71,920,000","$287,680,000",109.86%,9.53%,"$62,420,000","$249,680,000",60.86%,8.27%,"$942,380,000",-40.74%,"Accel Partners, Bain Capital Ventures, Sigma Partners",$443 million,7540,"$400,400",Electronic signature software,"","",http://www.docusign.com,http://investor.docusign.com,https://www.sec.gov/Archives/edgar/data/1261333/000119312518099555/d506878ds1.htm,https://www.sec.gov/Archives/edgar/data/1261333/000126133324000045/docu-20240131.htm
Doximity,DOCS,$58.27,10879.0,Sep 2024,"$136,830,000","$547,320,000",20.44%,19.88,"186,699,846",2021,2010,"Jeff Tangney, Nate Gross",San Francisco,"$56,880,000","$227,520,000",31.73%,41.57%,"$44,150,000","$176,600,000",44.28%,32.27%,"$805,560,000",10.37%,"Morgan Stanley, T. Rowe Price, Baillie Gifford",$319 million,980,"$558,500","Healthcare collaboration, patient data management, and healthcare job opportunities.","","",http://www.doximity.com,http://investors.doximity.com,https://www.sec.gov/Archives/edgar/data/1516513/000162828021011269/doximity-sx1.htm,https://www.sec.gov/Archives/edgar/data/1516513/000151651324000035/docs-20240331.htm
Dropbox,DBX,$30.76,9527.0,Sep 2024,"$638,800,000","$2,555,200,000",0.92%,3.73,"309,720,416",2018,2007,"Drew Houston, Arash Ferdowsi",San Francisco,"$163,100,000","$652,400,000",-6.21%,25.53%,"$106,700,000","$426,800,000",-6.49%,16.70%,"$890,800,000",-31.94%,"Sequoia Capital, Accel Partners, Index Ventures",$1.7 billion,3210,"$796,000",File storage and file synchronization application.,"","",http://www.dropbox.com,http://dropbox.gcs-web.com,https://www.sec.gov/Archives/edgar/data/1467623/000119312518055809/d451946ds1.htm,https://www.sec.gov/Archives/edgar/data/1467623/000146762324000008/dbx-20231231.htm
eGain,EGAN,$5.40,154.0,Sep 2024,"$21,800,000","$87,200,000",-9.83%,1.77,"28,518,519",1999,1997,"Ashutosh Roy, Gunjan Sinha",Sunnyvale,"$602,000","$2,408,000",-60.47%,2.76%,"$652,000","$2,608,000",-74.88%,2.99%,"$67,200,000",-15.81%,"Sequoia Capital, Technology Crossover Ventures",$60 million,710,"$122,800","Customer engagement solutions, including AI-powered virtual assistants, knowledge management, and analytics.","","",http://www.egain.com,http://www.egain.com/company/investors/,"",https://www.sec.gov/Archives/edgar/data/1066194/000155837024012767/egan-20240630x10k.htm
Elastic NV,ESTC,$103.62,10738.0,Oct 2024,"$365,360,000","$1,461,440,000",17.63%,7.35,"103,628,643",2018,2012,"Shay Banon, Steven Schuurman, Simon Willnauer, and Uri Boness",Mountain View,"-$671,000","-$2,684,000",95.81%,-0.18%,"-$25,450,000","-$101,800,000",-2.64%,-6.97%,"$1,200,000,000",23.93%,"Benchmark Capital, Index Ventures, New Enterprise Associates (NEA), Future Fund",$162 million,3100,"$471,400","Open-source software suite that enables search, logging, and analytics.","","",http://www.elastic.co,http://ir.elastic.co,https://www.sec.gov/Archives/edgar/data/1707753/000119312518266861/d588632ds1.htm,https://www.sec.gov/Archives/edgar/data/1707753/000170775324000014/estc-20240430.htm
Eventbrite,EB,$3.55,344.0,Sep 2024,"$77,800,000","$311,200,000",-4.59%,1.11,"96,901,408",2018,2006,"Kevin Hartz, Julia Hartz, Renaud Visage",San Francisco,"-$1,270,000","-$5,080,000",85.01%,-1.63%,"-$3,770,000","-$15,080,000",62.07%,-4.85%,"$555,620,000",-22.83%,"T. Rowe Price, Tiger Global Management, Sequoia Capital",$330 million,900,"$345,800","Event management platform that allows users to create, promote, and sell tickets for events online.","","",http://www.eventbrite.com,http://investor.eventbrite.com,https://www.sec.gov/Archives/edgar/data/1475115/000119312518255960/d593770ds1.htm,https://www.sec.gov/Archives/edgar/data/1475115/000147511524000042/eb-20231231.htm
Expensify,EXFY,$3.52,313.0,Sep 2024,"$35,410,000","$141,640,000",-2.97%,2.21,"88,920,455",2021,2008,David Barrett,San Francisco,"$486,000","$1,944,000",103.33%,1.37%,"-$2,200,000","-$8,800,000",87.07%,-6.21%,"$39,170,000",-56.04%,"OpenView Venture Partners, Redpoint Ventures",$38.9 million,140,"$1,011,700","Expense management application that automates expense reporting, receipt tracking, and reimbursement processes.","","",http://www.expensify.com,http://ir.expensify.com,https://www.sec.gov/Archives/edgar/data/1476840/000162828021020115/expensifys-1.htm,https://www.sec.gov/Archives/edgar/data/1476840/000147684024000016/exfy-20231231.htm
Fastly,FSLY,$10.04,1409.0,Sep 2024,"$137,210,000","$548,840,000",7.35%,2.57,"140,338,645",2019,2011,"Artur Bergman, Simon Wistow, and Gil Penchina",San Francisco,"-$16,160,000","-$64,640,000",59.20%,-11.78%,"-$38,020,000","-$152,080,000",30.00%,-27.71%,"$308,250,000",-28.04%,"August Capital, Battery Ventures, Iconiq Capital, O'Reilly AlphaTech Ventures, Amplify Partners",$219 million,1150,"$477,300",Enterprise content delivery network (CDN).,"","",http://www.fastly.com,http://investors.fastly.com,https://www.sec.gov/Archives/edgar/data/1517413/000119312519111675/d702138ds1.htm,https://www.sec.gov/Archives/edgar/data/1517413/000151741324000048/fsly-20231231.htm
Five9,FIVN,$42.39,3188.0,Sep 2024,"$264,180,000","$1,056,720,000",14.81%,3.02,"75,206,417",2014,2001,"Wendell R. Anderson, Brian Silverman, David T. Van Everen",San Ramon,"$7,320,000","$29,280,000",155.23%,2.77%,"-$4,480,000","-$17,920,000",78.06%,-1.70%,"$966,660,000",38.04%,"Sapphire Ventures, Bessemer Venture Partners",$74 million,2480,"$426,100","Contact center software that offers features like omnichannel routing, workforce optimization, and AI-powered virtual agents.","","",http://www.five9.com,http://investors.five9.com,https://www.sec.gov/Archives/edgar/data/1288847/000119312514078791/d626745ds1.htm,https://www.sec.gov/Archives/edgar/data/1288847/000128884724000012/fivn-20231231.htm
Fortinet,FTNT,$97.81,74967.0,Sep 2024,"$1,510,000,000","$6,040,000,000",13.00%,12.41,"766,455,373",2009,2000,"Ken Xie, Michael Xie, and Yan Kei-Ming",Sunnyvale,"$499,600,000","$1,998,400,000",51.21%,33.09%,"$539,900,000","$2,159,600,000",67.20%,35.75%,"$3,700,000,000",16.79%,"Redpoint Ventures, Meritech Capital Partners, Acorn Campus Ventures",$93 million,12900,"$468,200","Cybersecurity solutions, including firewalls, VPNs, and antivirus software.","","",http://www.fortinet.com,http://investor.fortinet.com,https://www.sec.gov/Archives/edgar/data/1262039/000119312509169817/ds1.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000014/ftnt-20231231.htm
Freshworks,FRSH,$15.90,4815.0,Sep 2024,"$186,580,000","$746,320,000",21.51%,6.45,"302,830,189",2021,2010,"Girish Mathrubootham, Shan Krishnasamy",San Mateo,"-$33,940,000","-$135,760,000",8.47%,-18.19%,"-$29,960,000","-$119,840,000",3.46%,-16.06%,"$1,050,000,000",-9.42%,"Accel, Tiger Global Management, Sequoia Capital",$400 million,5560,"$134,200","Customer engagement tools, including customer support, CRM, and marketing automation.","","",http://www.freshworks.com,http://ir.freshworks.com,https://www.sec.gov/Archives/edgar/data/1544522/000162828021017717/freshworkss-1.htm,https://www.sec.gov/Archives/edgar/data/1544522/000154452224000012/frsh-20231231.htm
GitLab,GTLB,$60.45,9811.0,Oct 2024,"$196,050,000","$784,200,000",30.99%,12.51,"162,299,421",2021,2011,"Sid Sijbrandij, Dmitriy Zaporozhets",San Francisco,"-$27,920,000","-$111,680,000",28.60%,-14.24%,"$29,560,000","$118,240,000",110.37%,15.08%,"$916,970,000",-7.34%,"Sequoia Capital, Khosla Ventures, Google Ventures",$426 million,2250,"$348,500","Version control, CI/CD pipelines, issue tracking, and collaboration tools for developers.","","",http://www.gitlab.com,http://ir.gitlab.com,https://www.sec.gov/Archives/edgar/data/1653482/000162828021018818/gitlab-sx1.htm,https://www.sec.gov/Archives/edgar/data/1653482/000162828024012963/gtlb-20240131.htm
Guidewire Software,GWRE,$174.62,14584.0,Oct 2024,"$262,900,000","$1,051,600,000",26.76%,13.87,"83,518,497",2012,2001,"Marcus Ryu, Ken Branson, John Raguin",San Mateo,"$1,120,000","$4,480,000",104.02%,0.43%,"$9,140,000","$36,560,000",133.76%,3.48%,"$1,340,000,000",87.72%,"Bain Capital Ventures, U.S. Venture Partners, Battery Ventures",$65 million,3510,"$299,600","Solutions for the insurance industry, including claims management, policy administration, and billing.","","",http://www.guidewire.com,http://ir.guidewire.com,https://www.sec.gov/Archives/edgar/data/1528396/000119312511240194/ds1.htm,https://www.sec.gov/Archives/edgar/data/1528396/000152839624000105/gwre-20240731.htm
HashiCorp,HCP,$34.24,7000.0,Oct 2024,"$173,390,000","$693,560,000",18.66%,10.09,"204,439,252",2021,2012,"Mitchell Hashimoto, Armon Dadgar",San Francisco,"-$26,410,000","-$105,640,000",50.04%,-15.23%,"-$13,010,000","-$52,040,000",67.05%,-7.50%,"$1,350,000,000",7.23%,"GGV Capital, IVP (Institutional Venture Partners), Mayfield Fund",$349 million,2500,"$277,400","Open-source tools and commercial products for cloud infrastructure automation, including Terraform, Vault, Consul, and Nomad sub-brands.","","",http://www.hashicorp.com,http://ir.hashicorp.com,https://www.sec.gov/Archives/edgar/data/1720671/000119312521319849/d205906ds1.htm,https://www.sec.gov/Archives/edgar/data/1720671/000162828024012350/hcp-20240131.htm
Informatica,INFA,$26.93,8224.0,Sep 2024,"$422,480,000","$1,689,920,000",3.41%,4.87,"305,384,330",2021,1993,"Gaurav Dhillon, Diaz Nesamoney, and Sanjay Poonen",Redwood City,"$86,240,000","$344,960,000",21.20%,20.41%,"-$13,980,000","-$55,920,000",-117.64%,-3.31%,"$1,240,000,000",42.69%,"Silver Lake Partners, Microsoft",$71 million,6150,"$274,800",Data integration and data management solutions.,"","",http://www.informatica.com,http://investors.informatica.com,https://www.sec.gov/Archives/edgar/data/1868778/000119312521300476/d169828ds1a.htm,https://www.sec.gov/Archives/edgar/data/1868778/000186877824000006/infa-20231231.htm
Intuit,INTU,$645.29,180628.0,Oct 2024,"$3,280,000,000","$13,120,000,000",10.24%,13.77,"279,917,556",1993,1983,"Scott Cook, Tom Proulx",Mountain View,"$444,000,000","$1,776,000,000",-3.48%,13.54%,"$197,000,000","$788,000,000",-18.26%,6.01%,"$3,360,000,000",47.86%,Sequoia Capital,$1.3 million,9500,"$1,381,100","Main application is QuickBooks, a financial management tool for accounting, invoicing, and tax preparation.","","",http://www.intuit.com,http://investors.intuit.com,"",https://www.sec.gov/Archives/edgar/data/896878/000089687824000039/intu-20240731.htm
Jfrog,FROG,$30.49,3402.0,Sep 2024,"$109,060,000","$436,240,000",23.04%,7.8,"111,577,566",2020,2008,"Shlomi Ben Haim, Yoav Landman, Fred Simon, Asaf Yigal",Sunnyvale,"-$20,580,000","-$82,320,000",-59.34%,-18.87%,"-$22,940,000","-$91,760,000",-66.91%,-21.03%,"$467,790,000",-6.85%,"Battery Ventures, Sapphire Ventures",$227 million,1350,"$323,100",DevOps platform for developers to manage and distribute software packages.,"","",http://www.jfrog.com,http://investors.jfrog.com,https://www.sec.gov/Archives/edgar/data/1800667/000119312520228195/d841831ds1.htm,https://www.sec.gov/Archives/edgar/data/1800667/000095017024015873/frog-20231231.htm
LiveRamp,RAMP,$30.90,2017.0,Sep 2024,"$185,480,000","$741,920,000",16.02%,2.72,"65,275,081",2018,2011,"Aneel Bhusri, Mike Driscoll",San Francisco,"$12,330,000","$49,320,000",-25.90%,6.65%,"$1,730,000","$6,920,000",-64.38%,0.93%,"$348,440,000",-33.52%,"Acxiom Ventures, Institutional Venture Partners (IVP)",$63 million,1420,"$522,500",Data connectivity and data management solutions aimed at unifying data from various marketing platforms.,"","",http://www.liveramp.com,http://investors.liveramp.com,"",https://www.sec.gov/Archives/edgar/data/733269/000073326924000018/ramp-20240331.htm
Livongo,TDOC,$9.26,1594.0,Sep 2024,"$640,510,000","$2,562,040,000",-2.99%,0.62,"172,138,229",2015,2008,"Glen Tullman, Lee Shapiro",Mountain View,"$13,390,000","$53,560,000",1.70%,2.09%,"-$33,280,000","-$133,120,000",41.70%,-5.20%,"$1,240,000,000",20.70%,"General Catalyst, Kinnevik, Kleiner Perkins, Merck Global Health Innovation Fund, Sapphire Ventures",$235 million,4970,"$515,500","Mobile application in the healthcare space for managing chronic conditions, providing personalized insights, coaching, and support.","","",http://www.livongo.com,http://ir.teladochealth.com,https://www.sec.gov/Archives/edgar/data/1477449/000104746915005109/a2224910zs-1.htm,https://www.sec.gov/Archives/edgar/data/1477449/000147744924000023/tdoc-20231231.htm
Marin Software,MRIN,$2.03,6.0,Sep 2024,"$4,280,000","$17,120,000",-3.52%,0.35,"2,955,665",2013,2006,"Chris Lien, Wister Walcott",San Francisco,"-$2,130,000","-$8,520,000",35.62%,-49.77%,"-$2,330,000","-$9,320,000",53.05%,-54.44%,"$5,590,000",-58.90%,"Crosslink Capital, Benchmark Capital",$105 million,180,"$95,100","Digital advertising management with features like ad campaign optimization, reporting, and audience targeting.","","",http://www.marinsoftware.com,http://investor.marinsoftware.com,https://www.sec.gov/Archives/edgar/data/1389002/000119312513055807/d450382ds1.htm,https://www.sec.gov/Archives/edgar/data/1389002/000095017024019131/mrin-20231231.htm
Marqeta,MQ,$3.70,1859.0,Sep 2024,"$127,970,000","$511,880,000",17.52%,3.63,"502,432,432",2021,2010,"Jason Gardner, Omri Dahan, and Amy Pressman",Oakland,"-$39,280,000","-$157,120,000",42.42%,-30.69%,"-$28,640,000","-$114,560,000",47.91%,-22.38%,"$1,100,000,000",-14.89%,"Coatue Management, Vitruvian Partners, Granite Ventures, Iconiq Capital",$528 million,990,"$517,100","Card issuing platform, enabling businesses to create and manage payment cards.","","",http://www.marqeta.com,http://investors.marqeta.com,https://www.sec.gov/Archives/edgar/data/1522540/000119312521162113/d64065ds1.htm,https://www.sec.gov/Archives/edgar/data/1522540/000162828024007663/mq-20231231.htm
Matterport,MTTR,$4.79,1547.0,Sep 2024,"$43,790,000","$175,160,000",7.75%,8.83,"322,964,509",2021,2011,"David Gausebeck, Matt Bell",Sunnyvale,"-$39,130,000","-$156,520,000",5.09%,-89.36%,"-$38,400,000","-$153,600,000",14.20%,-87.69%,"$270,180,000",-33.75%,"Lux Capital, DCM Ventures, Qualcomm Ventures, Greylock Partners",$116 million,610,"$287,100",Platform for creating and sharing immersive 3D virtual tours and models of physical spaces.,"","",http://www.matterport.com,http://investors.matterport.com,https://www.sec.gov/Archives/edgar/data/1819394/000119312520263889/d70164ds1.htm,https://www.sec.gov/Archives/edgar/data/1819394/000181939424000006/mttr-20231231.htm
Netflix,NFLX,$932.12,398442.0,Sep 2024,"$9,820,000,000","$39,280,000,000",15.02%,10.14,"427,457,838",2002,1997,"Reed Hastings, Marc Randolph",Los Gatos,"$2,990,000,000","$11,960,000,000",48.99%,30.45%,"$2,360,000,000","$9,440,000,000",40.90%,24.03%,"$9,220,000,000",17.24%,Technology Crossover Ventures,$30 Million,13000,"$3,021,500","Subscription-based streaming service for TV shows, movies, documentaries, etc.","","",http://www.netflix.com,http://ir.netflix.net,https://www.sec.gov/Archives/edgar/data/1065280/000101287002002125/ds1a.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000030/nflx-20231231.htm
Okta,OKTA,$83.19,14255.0,Oct 2024,"$665,000,000","$2,660,000,000",13.87%,5.36,"171,354,730",2017,2009,"Todd McKinnon, Frederic Kerrest",San Francisco,"$6,000,000","$24,000,000",106.98%,0.90%,"$16,000,000","$64,000,000",119.75%,2.41%,"$2,250,000,000",5.54%,"Sequoia Capital, Andreessen Horowitz",$229 million,6020,"$441,900",Identity management solutions for secure access to applications and data.,"","",http://www.okta.com,http://investor.okta.com,https://www.sec.gov/Archives/edgar/data/1660134/000119312517080301/d289173ds1.htm,https://www.sec.gov/Archives/edgar/data/1660134/000166013424000025/okta-20240131.htm
Oracle,ORCL,$171.41,479426.0,Nov 2024,"$14,060,000,000","$56,240,000,000",8.64%,8.52,"2,796,954,670",1986,1977,"Larry Ellison, Bob Miner, Ed Oates",Redwood City,"$5,640,000,000","$22,560,000,000",10.44%,40.11%,"$3,150,000,000","$12,600,000,000",25.89%,22.40%,"$11,310,000,000",30.16%,Sequoia Capital,$2 million,168000,"$334,800","Wide range of enterprise software platforms, including database management systems, cloud services, and business applications.","","",http://www.oracle.com,http://investor.oracle.com,"",https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/orcl-20240531.htm
